gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,57.66,3121.62,No
Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,87.48,4041.53,Yes
Male,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,29.63,591.36,No
Female,0,Yes,No,10,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,47.74,445.32,No
Male,0,No,No,30,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,57.32,1725.61,No
Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.08,198.2,Yes
Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.94,68.64,No
Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.33,102.98,No
Male,0,No,Yes,14,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,48.35,666.28,Yes
Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.12,845.2,No
Female,0,No,Yes,2,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),54.29,101.01,No
Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),91.92,1015.31,No
Female,0,No,Yes,19,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),57.52,1071.33,Yes
Female,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,80.67,2763.48,No
Female,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,90.87,1817.75,No
Male,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,80.72,2917.58,No
Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),84.28,788.5,No
Male,0,No,Yes,5,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.35,281.31,No
Male,0,Yes,No,6,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,52.36,365.11,No
Female,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.37,1269.36,No
Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.69,342.08,Yes
Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.31,1736.79,No
Female,0,No,No,15,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,78.11,1151.58,Yes
Male,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),43.7,818.06,No
Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,780.87,No
Male,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,86.26,2176.26,No
Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),83.78,1606.05,No
Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.83,132.96,No
Male,0,Yes,Yes,15,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.37,982.66,Yes
Male,0,No,No,15,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),81.58,1222.59,Yes
Female,1,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,76.86,530.11,Yes
Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,87.84,191.06,Yes
Female,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.21,1843.73,Yes
Female,0,No,No,6,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.48,403.89,No
Female,0,No,Yes,11,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),43.77,485.15,No
Male,1,No,Yes,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,96.47,1009.42,Yes
Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,55.61,674.47,No
Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),88.36,865.31,No
Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),83.21,753.49,Yes
Female,0,No,No,5,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,89.63,455.62,Yes
Male,0,No,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),101.23,2630.18,No
Male,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,880.73,No
Male,1,Yes,No,7,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,83.16,607.76,Yes
Male,1,No,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.21,756.56,No
Female,0,No,No,16,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),52.37,856.84,No
Male,1,No,Yes,7,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.58,602.16,No
Female,0,No,Yes,15,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,77.77,1153.69,Yes
Female,0,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.12,586.91,Yes
Female,1,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,94.68,3158.22,No
Male,0,No,No,61,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,84.41,5182.43,No
Female,0,No,Yes,61,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),40.34,2442.77,No
Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,80.72,2146.21,No
Male,0,No,No,7,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,89.81,623.47,Yes
Female,0,No,No,39,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),50.84,1980.84,No
Male,0,No,Yes,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.21,410.24,No
Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),85.18,2377.62,No
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,103.42,131.32,No
Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,75.77,1517.81,Yes
Male,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),43.9,468.18,No
Female,0,No,Yes,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),67.67,1701.84,No
Female,0,Yes,No,1,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.58,71.11,Yes
Female,0,No,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,54.85,584.55,No
Male,0,Yes,Yes,44,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),70.67,3077.54,No
Male,0,Yes,No,29,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,61.5,1796.28,No
Male,1,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.61,1441.97,Yes
Female,0,No,Yes,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,87.02,441.74,Yes
Male,0,No,No,36,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Mailed check,56.23,2066.14,No
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.66,184.37,Yes
Male,0,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,95.61,1246.55,Yes
Female,0,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.49,95.27,No
Female,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,96.86,Yes
Female,0,No,No,8,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,45.56,400.92,No
Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),87.45,338.07,Yes
Female,0,Yes,No,16,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),53.83,842.6,No
Female,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),88.12,763.81,No
Female,0,No,No,28,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,65.61,1855.5,No
Male,1,No,Yes,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),45.64,159.78,No
Female,1,No,No,13,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,57.26,695.43,No
Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,75.7,3051.25,No
Male,0,No,No,24,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,55.81,1348.18,No
Male,0,No,No,24,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,57.12,1356.61,No
Female,0,No,No,12,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),57.75,714.13,No
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),53.71,544.19,No
Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,102.9,732.85,Yes
Male,1,No,Yes,32,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Mailed check,45.24,1428.36,No
Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.47,146.0,Yes
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,94.28,1036.88,Yes
Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,56.84,1359.42,No
Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.04,835.95,No
Female,0,Yes,Yes,17,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.18,1374.28,Yes
Female,0,Yes,Yes,41,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),86.57,3557.82,No
Female,0,Yes,No,10,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,49.82,485.02,No
Male,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,92.23,Yes
Female,0,No,No,24,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,52.18,1291.48,No
Male,0,No,No,40,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,59.62,2371.52,No
Male,0,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,48.34,2149.09,No
Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.92,919.75,Yes
Male,1,Yes,Yes,19,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),99.41,1876.13,Yes
Female,1,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.15,547.13,Yes
Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.87,595.99,No
Female,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),87.76,711.58,Yes
Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,83.49,6004.27,No
Female,0,No,No,14,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),63.19,873.96,Yes
Female,0,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),51.89,984.95,No
Female,0,Yes,No,10,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),55.67,531.08,Yes
Male,0,No,No,20,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,85.8,1733.5,No
Male,0,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.33,656.92,No
Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),79.02,785.07,Yes
Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.16,1673.05,Yes
Female,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.17,882.76,No
Male,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.71,235.78,No
Female,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,258.53,No
Female,0,Yes,No,30,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.34,1722.86,No
Male,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,119.77,No
Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,76.03,578.55,No
Female,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,122.7,No
Male,0,Yes,No,11,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),61.56,649.62,Yes
Female,1,Yes,Yes,66,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,91.12,6007.64,No
Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),93.89,2755.34,Yes
Female,0,No,Yes,11,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,38.38,397.89,No
Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),102.71,2147.45,No
Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,407.81,No
Male,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.72,313.56,Yes
Female,1,No,No,14,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),68.76,955.02,No
Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.1,1516.74,No
Female,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),60.78,1627.42,No
Female,0,Yes,Yes,6,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,55.29,316.11,Yes
Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),89.43,900.96,No
Female,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),96.64,3876.92,Yes
Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,50.52,813.56,No
Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.69,395.46,Yes
Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.19,314.93,No
Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),83.95,389.55,Yes
Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.77,1884.36,No
Male,0,Yes,Yes,14,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,60.9,862.52,No
Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.32,2422.48,No
Male,0,No,No,41,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,58.17,2388.86,No
Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,353.51,No
Female,0,No,No,2,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,66.07,116.69,No
Female,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),45.56,116.29,Yes
Male,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,92.13,2299.88,No
Male,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),88.9,1157.35,No
Male,0,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),58.87,237.67,Yes
Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,476.03,No
Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,372.38,No
Male,0,No,No,27,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),58.53,1583.52,No
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.05,673.82,Yes
Male,0,No,Yes,29,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),53.27,1536.84,No
Male,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,791.74,No
Female,1,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,557.62,No
Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.16,105.5,No
Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,86.31,1052.89,No
Female,0,No,No,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,58.5,470.86,No
Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.12,1309.08,No
Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,101.74,3457.95,No
Female,0,No,No,17,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,52.37,862.28,No
Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,78.08,520.94,No
Female,0,Yes,Yes,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,77.92,2959.15,No
Female,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),92.34,684.15,No
